       62.,    0.110801324000000E+09,    0.104175448000000E+09,    0.846527590000000E+08,    0.621834593750000E+07,   -0.288799972500000E+08,   -0.478656615000000E+08
       63.,    0.901416760000000E+08,    0.861765440000000E+08,    0.932858560000000E+08,    0.381974593750000E+07,   -0.224719185000000E+08,   -0.369983000000000E+08
       64.,    0.102605839000000E+09,    0.975481340000000E+08,    0.958382840000000E+08,    0.495733187500000E+07,   -0.279293762500000E+08,   -0.461247550000000E+08
       65.,    0.988983280000000E+08,    0.928453680000000E+08,    0.836803720000000E+08,    0.473615050000000E+07,   -0.224535125000000E+08,   -0.402122590000000E+08
       66.,    0.111237643000000E+09,    0.103686193000000E+09,    0.846093360000000E+08,    0.597440306250000E+07,   -0.272370070000000E+08,   -0.487324025000000E+08
       67.,    0.906180840000000E+08,    0.856196100000000E+08,    0.931858560000000E+08,    0.354205912500000E+07,   -0.210396350000000E+08,   -0.377007450000000E+08
       68.,    0.103195197000000E+09,    0.968800050000000E+08,    0.958191790000000E+08,    0.460531112500000E+07,   -0.262373067500000E+08,   -0.470958535000000E+08
       69.,    0.989424260000000E+08,    0.922354860000000E+08,    0.834675980000000E+08,    0.443660075000000E+07,   -0.210616195000000E+08,   -0.408228050000000E+08
       70.,    0.111221192000000E+09,    0.102955317000000E+09,    0.844041460000000E+08,    0.560521487500000E+07,   -0.255231925000000E+08,   -0.494657630000000E+08
       71.,    0.907267920000000E+08,    0.849872500000000E+08,    0.930091460000000E+08,    0.317987706250000E+07,   -0.195682060000000E+08,   -0.383452980000000E+08
       72.,    0.103333356000000E+09,    0.959892690000000E+08,    0.955769670000000E+08,    0.410839540625000E+07,   -0.244772685000000E+08,   -0.478346640000000E+08
       73.,    0.986011380000000E+08,    0.915024620000000E+08,    0.830815880000000E+08,    0.402055625000000E+07,   -0.195766760000000E+08,   -0.413578210000000E+08
       74.,    0.110793137000000E+09,    0.101994657000000E+09,    0.839597760000000E+08,    0.508178418750000E+07,   -0.237313652500000E+08,   -0.499916775000000E+08
