nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
         1, 7.975600621E-03, 1.401090013E-10, 0.000000000E+00, 1.000000924E+07
         2, 7.974249138E-03, 9.918251066E-05, 0.000000000E+00, 1.000000921E+07
         3, 7.972740694E-03, 1.983626178E-04, 0.000000000E+00, 1.000000928E+07
         4, 7.968851201E-03, 2.974779092E-04, 0.000000000E+00, 1.000000943E+07
         5, 7.964961709E-03, 3.965932008E-04, 0.000000000E+00, 1.000000928E+07
         6, 7.959744212E-03, 4.956474629E-04, 0.000000000E+00, 1.000000905E+07
         7, 7.953078945E-03, 5.946148482E-04, 0.000000000E+00, 1.000000893E+07
         8, 7.945161967E-03, 6.934899744E-04, 0.000000000E+00, 1.000000880E+07
         9, 7.923605752E-03, 9.062509668E-04, 0.000000000E+00, 1.000000853E+07
        10, 7.895165488E-03, 1.118201576E-03, 0.000000000E+00, 1.000000787E+07
        11, 7.863035095E-03, 1.329624252E-03, 0.000000000E+00, 1.000000680E+07
        12, 7.824635987E-03, 1.539998739E-03, 0.000000000E+00, 1.000000551E+07
        13, 7.781373007E-03, 1.749427057E-03, 0.000000000E+00, 1.000000426E+07
        14, 7.730769168E-03, 1.957203789E-03, 0.000000000E+00, 1.000000348E+07
        15, 7.675554586E-03, 2.163803083E-03, 0.000000000E+00, 1.000000323E+07
        16, 7.614075979E-03, 2.368625638E-03, 0.000000000E+00, 1.000000347E+07
        17, 7.549013227E-03, 2.572338056E-03, 0.000000000E+00, 1.000000432E+07
        18, 7.477339405E-03, 2.773819512E-03, 0.000000000E+00, 1.000000629E+07
        19, 7.399100532E-03, 2.972843597E-03, 0.000000000E+00, 1.000000945E+07
        20, 7.317339277E-03, 3.170446753E-03, 0.000000000E+00, 1.000001320E+07
        21, 7.229777726E-03, 3.365549003E-03, 0.000000000E+00, 1.000001688E+07
        22, 7.187463608E-03, 3.456160310E-03, 0.000000000E+00, 1.000001856E+07
        23, 7.143788756E-03, 3.546123642E-03, 0.000000000E+00, 1.000002000E+07
