nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
      3595, 5.959953946E-03, 2.582641246E-03, 1.842547049E-02, 9.997483255E+06
      3596, 5.888487619E-03, 2.741637931E-03, 1.842547007E-02, 9.997475281E+06
      3597, 5.853803573E-03, 2.815406120E-03, 1.842546448E-02, 9.997477731E+06
      3598, 5.817773602E-03, 2.888526677E-03, 1.842546862E-02, 9.997486316E+06
      3599, 5.781344798E-03, 2.961449663E-03, 1.842546463E-02, 9.997500731E+06
      3600, 5.743402541E-03, 3.033597117E-03, 1.842546708E-02, 9.997518148E+06
      3601, 5.705254963E-03, 3.105636639E-03, 1.842546499E-02, 9.997535414E+06
      3602, 5.665422213E-03, 3.176758635E-03, 1.842546548E-02, 9.997548357E+06
      3603, 5.625581352E-03, 3.247876642E-03, 1.842546556E-02, 9.997554220E+06
      3604, 5.584180630E-03, 3.317489150E-03, 1.842546548E-02, 9.997551426E+06
      3605, 5.542771822E-03, 3.387096279E-03, 1.842546502E-02, 9.997540845E+06
      3606, 5.499762209E-03, 3.455725403E-03, 1.842546712E-02, 9.997524659E+06
      3607, 5.456533035E-03, 3.524216029E-03, 1.842546478E-02, 9.997506684E+06
      3608, 5.411931772E-03, 3.591820786E-03, 1.842546873E-02, 9.997490314E+06
      3609, 5.366917201E-03, 3.659150763E-03, 1.842546481E-02, 9.997479135E+06
      3610, 5.320743418E-03, 3.725690782E-03, 1.842547032E-02, 9.997474496E+06
      3611, 5.218844995E-03, 3.867160818E-03, 1.842547081E-02, 9.997481441E+06
      3612, 5.113184528E-03, 4.005844611E-03, 1.842547080E-02, 9.997497962E+06
      3613, 5.003838519E-03, 4.141642099E-03, 1.842547040E-02, 9.997512608E+06
      3614, 4.890885551E-03, 4.274454858E-03, 1.842546966E-02, 9.997515767E+06
      3615, 4.774533211E-03, 4.404297724E-03, 1.842546282E-02, 9.997503341E+06
      3616, 4.654695827E-03, 4.530930099E-03, 1.842546512E-02, 9.997480074E+06
      3617, 4.530904417E-03, 4.653702507E-03, 1.842546630E-02, 9.997453658E+06
      3618, 4.404398002E-03, 4.773681440E-03, 1.842547894E-02, 9.997435386E+06
      3619, 4.275122512E-03, 4.890676023E-03, 1.842547359E-02, 9.997429750E+06
      3620, 4.141911697E-03, 5.003165155E-03, 1.842546401E-02, 9.997439128E+06
      3621, 4.006041028E-03, 5.112426783E-03, 1.842547602E-02, 9.997458125E+06
      3622, 3.867860035E-03, 5.218763464E-03, 1.842548394E-02, 9.997483219E+06
      3623, 3.726025624E-03, 5.320172714E-03, 1.842546333E-02, 9.997506199E+06
      3624, 3.659644267E-03, 5.366715230E-03, 1.842547962E-02, 9.997516862E+06
      3625, 3.591897676E-03, 5.411246382E-03, 1.842547221E-02, 9.997524977E+06
      3626, 3.524154456E-03, 5.455775318E-03, 1.842546480E-02, 9.997531354E+06
      3627, 3.456212225E-03, 5.500007288E-03, 1.842547239E-02, 9.997535694E+06
      3628, 3.386778474E-03, 5.541858897E-03, 1.842546816E-02, 9.997538478E+06
      3629, 3.317347997E-03, 5.583708534E-03, 1.842546393E-02, 9.997540060E+06
      3630, 3.247917545E-03, 5.625558214E-03, 1.842546039E-02, 9.997540505E+06
      3631, 6.487016814E-03, 1.511801298E-12, 1.861670757E-02, 9.997450765E+06
      3632, 6.485500581E-03, 8.045323286E-05, 1.861671097E-02, 9.997450495E+06
      3633, 6.483984346E-03, 1.609064642E-04, 1.861671517E-02, 9.997449201E+06
      3634, 6.482468000E-03, 2.413634345E-04, 1.861671937E-02, 9.997446794E+06
      3635, 6.478224599E-03, 3.217228896E-04, 1.861671168E-02, 9.997442918E+06
      3636, 6.473567848E-03, 4.020555595E-04, 1.861671904E-02, 9.997437156E+06
      3637, 6.468910881E-03, 4.823919618E-04, 1.861672640E-02, 9.997429434E+06
      3638, 6.461965940E-03, 5.625634590E-04, 1.861670997E-02, 9.997419179E+06
      3639, 6.445100132E-03, 7.358413639E-04, 1.861673123E-02, 9.997396934E+06
      3640, 6.422254707E-03, 9.084345202E-04, 1.861672256E-02, 9.997372762E+06
      3641, 6.395741803E-03, 1.080494983E-03, 1.861671050E-02, 9.997354475E+06
      3642, 6.365043322E-03, 1.251859237E-03, 1.861672327E-02, 9.997346506E+06
      3643, 6.328483642E-03, 1.422072083E-03, 1.861672541E-02, 9.997352992E+06
      3644, 6.288029505E-03, 1.591397385E-03, 1.861671280E-02, 9.997373281E+06
      3645, 6.243735300E-03, 1.759755773E-03, 1.861671484E-02, 9.997403547E+06
      3646, 6.194164477E-03, 1.926634896E-03, 1.861670935E-02, 9.997430328E+06
      3647, 6.140054277E-03, 2.092097529E-03, 1.861671622E-02, 9.997444273E+06
      3648, 6.081690218E-03, 2.256109759E-03, 1.861671700E-02, 9.997440237E+06
      3649, 6.018944051E-03, 2.418495732E-03, 1.861671747E-02, 9.997424397E+06
      3650, 5.951861775E-03, 2.579138453E-03, 1.861671754E-02, 9.997405342E+06
      3651, 5.880491285E-03, 2.737921667E-03, 1.861671712E-02, 9.997394385E+06
      3652, 5.845862878E-03, 2.811595248E-03, 1.861671202E-02, 9.997395229E+06
      3653, 5.809871981E-03, 2.884613223E-03, 1.861671568E-02, 9.997402575E+06
      3654, 5.773498242E-03, 2.957441528E-03, 1.861671203E-02, 9.997415908E+06
      3655, 5.735600481E-03, 3.029488880E-03, 1.861671414E-02, 9.997432623E+06
      3656, 5.697507113E-03, 3.101433383E-03, 1.861671223E-02, 9.997449468E+06
      3657, 5.657724504E-03, 3.172458140E-03, 1.861671254E-02, 9.997462367E+06
      3658, 5.617937104E-03, 3.243480716E-03, 1.861671262E-02, 9.997468242E+06
      3659, 5.576593895E-03, 3.312995757E-03, 1.861671255E-02, 9.997465363E+06
      3660, 5.535246143E-03, 3.382507577E-03, 1.861671225E-02, 9.997454616E+06
      3661, 5.492293232E-03, 3.451038732E-03, 1.861671418E-02, 9.997438631E+06
      3662, 5.449130519E-03, 3.519437567E-03, 1.861671217E-02, 9.997421034E+06
      3663, 5.404585488E-03, 3.586943931E-03, 1.861671579E-02, 9.997405658E+06
      3664, 5.359638902E-03, 3.654183295E-03, 1.861671216E-02, 9.997395671E+06
      3665, 5.313524677E-03, 3.720626962E-03, 1.861671738E-02, 9.997392770E+06
      3666, 5.211763080E-03, 3.861907284E-03, 1.861671786E-02, 9.997403384E+06
      3667, 5.106244419E-03, 4.000405056E-03, 1.861671786E-02, 9.997423773E+06
      3668, 4.997045132E-03, 4.136020374E-03, 1.861671745E-02, 9.997442096E+06
      3669, 4.884243624E-03, 4.268654882E-03, 1.861671672E-02, 9.997447930E+06
      3670, 4.768047317E-03, 4.398323491E-03, 1.861670988E-02, 9.997434873E+06
      3671, 4.648370537E-03, 4.524785817E-03, 1.861671218E-02, 9.997407930E+06
      3672, 4.524745071E-03, 4.647393381E-03, 1.861671336E-02, 9.997377352E+06
      3673, 4.398408001E-03, 4.767210953E-03, 1.861672598E-02, 9.997355467E+06
      3674, 4.269305728E-03, 4.884048340E-03, 1.861672065E-02, 9.997347144E+06
